test_week,train_weeks,bet_type,dow_pt,score_col,cutoff,stake_frac,alpha_global,status,rule_key
2025-11-10/2025-11-16,16,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.676684558391571,too_few_weeks,FH|segunda-feira
2025-11-10/2025-11-16,16,FH,terça-feira,proba_raw_terca,0.17,0.04,0.676684558391571,ok,FH|terça-feira
2025-11-10/2025-11-16,16,FH,quarta-feira,proba_raw_quarta,0.19,0.06,0.676684558391571,ok,FH|quarta-feira
2025-11-10/2025-11-16,16,FH,quinta-feira,proba_raw_segqui,0.51,0.07,0.676684558391571,ok,FH|quinta-feira
2025-11-10/2025-11-16,16,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,0.676684558391571,no_candidate,FH|sexta-feira
2025-11-10/2025-11-16,16,FH,sábado,proba_raw_sexdom,0.43,0.02,0.676684558391571,ok,FH|sábado
2025-11-10/2025-11-16,16,FH,domingo,proba_raw_sexdom,1.0,0.0,0.676684558391571,no_candidate,FH|domingo
2025-11-17/2025-11-23,17,FT,segunda-feira,proba_raw_segunda,0.19,0.02,0.8835005164146423,ok,FT|segunda-feira
2025-11-17/2025-11-23,17,FT,terça-feira,proba_raw_terca,0.19,0.01,0.8835005164146423,ok,FT|terça-feira
2025-11-17/2025-11-23,17,FT,quarta-feira,proba_raw_quarta,0.43,0.07,0.8835005164146423,ok,FT|quarta-feira
2025-11-17/2025-11-23,17,FT,quinta-feira,proba_raw_segqui,1.0,0.0,0.8835005164146423,no_candidate,FT|quinta-feira
2025-11-17/2025-11-23,17,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,0.8835005164146423,no_candidate,FT|sexta-feira
2025-11-17/2025-11-23,17,FT,sábado,proba_raw_sexdom,0.47,0.04,0.8835005164146423,ok,FT|sábado
2025-11-17/2025-11-23,17,FT,domingo,proba_raw_sexdom,0.29,0.07,0.8835005164146423,ok,FT|domingo
2025-11-17/2025-11-23,17,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.8835005164146423,too_few_weeks,FH|segunda-feira
2025-11-17/2025-11-23,17,FH,terça-feira,proba_raw_terca,1.0,0.0,0.8835005164146423,no_candidate,FH|terça-feira
2025-11-17/2025-11-23,17,FH,quarta-feira,proba_raw_quarta,0.25,0.01,0.8835005164146423,ok,FH|quarta-feira
2025-11-17/2025-11-23,17,FH,quinta-feira,proba_raw_segqui,1.0,0.0,0.8835005164146423,no_candidate,FH|quinta-feira
2025-11-17/2025-11-23,17,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,0.8835005164146423,no_candidate,FH|sexta-feira
2025-11-17/2025-11-23,17,FH,sábado,proba_raw_sexdom,0.43,0.02,0.8835005164146423,ok,FH|sábado
2025-11-17/2025-11-23,17,FH,domingo,proba_raw_sexdom,0.13,0.04,0.8835005164146423,ok,FH|domingo
2025-11-24/2025-11-30,18,FT,segunda-feira,proba_raw_segunda,0.19,0.02,0.7362246513366699,ok,FT|segunda-feira
2025-11-24/2025-11-30,18,FT,terça-feira,proba_raw_terca,0.21,0.01,0.7362246513366699,ok,FT|terça-feira
2025-11-24/2025-11-30,18,FT,quarta-feira,proba_raw_quarta,0.43,0.07,0.7362246513366699,ok,FT|quarta-feira
2025-11-24/2025-11-30,18,FT,quinta-feira,proba_raw_segqui,1.0,0.0,0.7362246513366699,no_candidate,FT|quinta-feira
2025-11-24/2025-11-30,18,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,0.7362246513366699,no_candidate,FT|sexta-feira
2025-11-24/2025-11-30,18,FT,sábado,proba_raw_sexdom,0.41,0.02,0.7362246513366699,ok,FT|sábado
2025-11-24/2025-11-30,18,FT,domingo,proba_raw_sexdom,1.0,0.0,0.7362246513366699,no_candidate,FT|domingo
2025-11-24/2025-11-30,18,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.7362246513366699,too_few_weeks,FH|segunda-feira
2025-11-24/2025-11-30,18,FH,terça-feira,proba_raw_terca,1.0,0.0,0.7362246513366699,no_candidate,FH|terça-feira
2025-11-24/2025-11-30,18,FH,quarta-feira,proba_raw_quarta,0.05,0.07,0.7362246513366699,ok,FH|quarta-feira
2025-11-24/2025-11-30,18,FH,quinta-feira,proba_raw_segqui,0.31,0.04,0.7362246513366699,ok,FH|quinta-feira
2025-11-24/2025-11-30,18,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,0.7362246513366699,no_candidate,FH|sexta-feira
2025-11-24/2025-11-30,18,FH,sábado,proba_raw_sexdom,0.19,0.01,0.7362246513366699,ok,FH|sábado
2025-11-24/2025-11-30,18,FH,domingo,proba_raw_sexdom,0.11,0.02,0.7362246513366699,ok,FH|domingo
2025-12-01/2025-12-07,19,FT,segunda-feira,proba_raw_segunda,0.19,0.02,0.7070706486701965,ok,FT|segunda-feira
2025-12-01/2025-12-07,19,FT,terça-feira,proba_raw_terca,0.21,0.03,0.7070706486701965,ok,FT|terça-feira
2025-12-01/2025-12-07,19,FT,quarta-feira,proba_raw_quarta,0.43,0.07,0.7070706486701965,ok,FT|quarta-feira
2025-12-01/2025-12-07,19,FT,quinta-feira,proba_raw_segqui,1.0,0.0,0.7070706486701965,no_candidate,FT|quinta-feira
2025-12-01/2025-12-07,19,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,0.7070706486701965,no_candidate,FT|sexta-feira
2025-12-01/2025-12-07,19,FT,sábado,proba_raw_sexdom,0.55,0.07,0.7070706486701965,ok,FT|sábado
2025-12-01/2025-12-07,19,FT,domingo,proba_raw_sexdom,1.0,0.0,0.7070706486701965,no_candidate,FT|domingo
2025-12-01/2025-12-07,19,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.7070706486701965,no_candidate,FH|segunda-feira
2025-12-01/2025-12-07,19,FH,terça-feira,proba_raw_terca,0.35,0.01,0.7070706486701965,ok,FH|terça-feira
2025-12-01/2025-12-07,19,FH,quarta-feira,proba_raw_quarta,0.25,0.07,0.7070706486701965,ok,FH|quarta-feira
2025-12-01/2025-12-07,19,FH,quinta-feira,proba_raw_segqui,0.05,0.03,0.7070706486701965,ok,FH|quinta-feira
2025-12-01/2025-12-07,19,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,0.7070706486701965,no_candidate,FH|sexta-feira
2025-12-01/2025-12-07,19,FH,sábado,proba_raw_sexdom,0.43,0.03,0.7070706486701965,ok,FH|sábado
2025-12-01/2025-12-07,19,FH,domingo,proba_raw_sexdom,1.0,0.0,0.7070706486701965,no_candidate,FH|domingo
2025-12-08/2025-12-14,20,FT,segunda-feira,proba_raw_segunda,0.19,0.02,0.6324741244316101,ok,FT|segunda-feira
2025-12-08/2025-12-14,20,FT,terça-feira,proba_raw_terca,0.31,0.03,0.6324741244316101,ok,FT|terça-feira
2025-12-08/2025-12-14,20,FT,quarta-feira,proba_raw_quarta,0.45,0.07,0.6324741244316101,ok,FT|quarta-feira
2025-12-08/2025-12-14,20,FT,quinta-feira,proba_raw_segqui,0.59,0.01,0.6324741244316101,ok,FT|quinta-feira
2025-12-08/2025-12-14,20,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,0.6324741244316101,no_candidate,FT|sexta-feira
2025-12-08/2025-12-14,20,FT,sábado,proba_raw_sexdom,0.57,0.07,0.6324741244316101,ok,FT|sábado
2025-12-08/2025-12-14,20,FT,domingo,proba_raw_sexdom,1.0,0.0,0.6324741244316101,no_candidate,FT|domingo
2025-12-08/2025-12-14,20,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.6324741244316101,no_candidate,FH|segunda-feira
2025-12-08/2025-12-14,20,FH,terça-feira,proba_raw_terca,0.35,0.07,0.6324741244316101,ok,FH|terça-feira
2025-12-08/2025-12-14,20,FH,quarta-feira,proba_raw_quarta,0.25,0.07,0.6324741244316101,ok,FH|quarta-feira
2025-12-08/2025-12-14,20,FH,quinta-feira,proba_raw_segqui,0.31,0.04,0.6324741244316101,ok,FH|quinta-feira
2025-12-08/2025-12-14,20,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,0.6324741244316101,no_candidate,FH|sexta-feira
2025-12-08/2025-12-14,20,FH,sábado,proba_raw_sexdom,0.19,0.01,0.6324741244316101,ok,FH|sábado
2025-12-08/2025-12-14,20,FH,domingo,proba_raw_sexdom,1.0,0.0,0.6324741244316101,no_candidate,FH|domingo
2025-12-15/2025-12-21,21,FT,segunda-feira,proba_raw_segunda,0.23,0.03,0.6553630232810974,ok,FT|segunda-feira
2025-12-15/2025-12-21,21,FT,terça-feira,proba_raw_terca,0.17,0.02,0.6553630232810974,ok,FT|terça-feira
2025-12-15/2025-12-21,21,FT,quarta-feira,proba_raw_quarta,0.45,0.07,0.6553630232810974,ok,FT|quarta-feira
2025-12-15/2025-12-21,21,FT,quinta-feira,proba_raw_segqui,1.0,0.0,0.6553630232810974,no_candidate,FT|quinta-feira
2025-12-15/2025-12-21,21,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,0.6553630232810974,no_candidate,FT|sexta-feira
2025-12-15/2025-12-21,21,FT,sábado,proba_raw_sexdom,0.57,0.07,0.6553630232810974,ok,FT|sábado
2025-12-15/2025-12-21,21,FT,domingo,proba_raw_sexdom,1.0,0.0,0.6553630232810974,no_candidate,FT|domingo
2025-12-15/2025-12-21,21,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.6553630232810974,no_candidate,FH|segunda-feira
2025-12-15/2025-12-21,21,FH,terça-feira,proba_raw_terca,0.39,0.07,0.6553630232810974,ok,FH|terça-feira
2025-12-15/2025-12-21,21,FH,quarta-feira,proba_raw_quarta,0.25,0.07,0.6553630232810974,ok,FH|quarta-feira
2025-12-15/2025-12-21,21,FH,quinta-feira,proba_raw_segqui,0.13,0.03,0.6553630232810974,ok,FH|quinta-feira
2025-12-15/2025-12-21,21,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,0.6553630232810974,no_candidate,FH|sexta-feira
2025-12-15/2025-12-21,21,FH,sábado,proba_raw_sexdom,0.19,0.01,0.6553630232810974,ok,FH|sábado
2025-12-15/2025-12-21,21,FH,domingo,proba_raw_sexdom,1.0,0.0,0.6553630232810974,no_candidate,FH|domingo
2025-12-22/2025-12-28,22,FT,segunda-feira,proba_raw_segunda,0.31,0.07,1.0,ok,FT|segunda-feira
2025-12-22/2025-12-28,22,FT,terça-feira,proba_raw_terca,0.31,0.03,1.0,ok,FT|terça-feira
2025-12-22/2025-12-28,22,FT,quarta-feira,proba_raw_quarta,0.53,0.07,1.0,ok,FT|quarta-feira
2025-12-22/2025-12-28,22,FT,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,no_candidate,FT|quinta-feira
2025-12-22/2025-12-28,22,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira
2025-12-22/2025-12-28,22,FT,sábado,proba_raw_sexdom,0.57,0.07,1.0,ok,FT|sábado
2025-12-22/2025-12-28,22,FT,domingo,proba_raw_sexdom,0.23,0.04,1.0,ok,FT|domingo
2025-12-22/2025-12-28,22,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,no_candidate,FH|segunda-feira
2025-12-22/2025-12-28,22,FH,terça-feira,proba_raw_terca,0.35,0.07,1.0,ok,FH|terça-feira
2025-12-22/2025-12-28,22,FH,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,no_candidate,FH|quarta-feira
2025-12-22/2025-12-28,22,FH,quinta-feira,proba_raw_segqui,0.09,0.03,1.0,ok,FH|quinta-feira
2025-12-22/2025-12-28,22,FH,sexta-feira,proba_raw_sexdom,0.07,0.01,1.0,ok,FH|sexta-feira
2025-12-22/2025-12-28,22,FH,sábado,proba_raw_sexdom,0.19,0.01,1.0,ok,FH|sábado
2025-12-22/2025-12-28,22,FH,domingo,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|domingo
2025-12-29/2026-01-04,23,FT,segunda-feira,proba_raw_segunda,0.21,0.03,0.8974358439445496,ok,FT|segunda-feira
2025-12-29/2026-01-04,23,FT,terça-feira,proba_raw_terca,0.21,0.03,0.8974358439445496,ok,FT|terça-feira
2025-12-29/2026-01-04,23,FT,quarta-feira,proba_raw_quarta,0.53,0.07,0.8974358439445496,ok,FT|quarta-feira
2025-12-29/2026-01-04,23,FT,quinta-feira,proba_raw_segqui,1.0,0.0,0.8974358439445496,no_candidate,FT|quinta-feira
2025-12-29/2026-01-04,23,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,0.8974358439445496,no_candidate,FT|sexta-feira
2025-12-29/2026-01-04,23,FT,sábado,proba_raw_sexdom,0.57,0.07,0.8974358439445496,ok,FT|sábado
2025-12-29/2026-01-04,23,FT,domingo,proba_raw_sexdom,0.23,0.04,0.8974358439445496,ok,FT|domingo
2025-12-29/2026-01-04,23,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.8974358439445496,no_candidate,FH|segunda-feira
2025-12-29/2026-01-04,23,FH,terça-feira,proba_raw_terca,0.41,0.07,0.8974358439445496,ok,FH|terça-feira
2025-12-29/2026-01-04,23,FH,quarta-feira,proba_raw_quarta,0.17,0.02,0.8974358439445496,ok,FH|quarta-feira
2025-12-29/2026-01-04,23,FH,quinta-feira,proba_raw_segqui,0.05,0.03,0.8974358439445496,ok,FH|quinta-feira
2025-12-29/2026-01-04,23,FH,sexta-feira,proba_raw_sexdom,0.07,0.01,0.8974358439445496,ok,FH|sexta-feira
2025-12-29/2026-01-04,23,FH,sábado,proba_raw_sexdom,0.19,0.01,0.8974358439445496,ok,FH|sábado
2025-12-29/2026-01-04,23,FH,domingo,proba_raw_sexdom,1.0,0.0,0.8974358439445496,no_candidate,FH|domingo
2026-01-05/2026-01-11,24,FT,segunda-feira,proba_raw_segunda,0.19,0.03,0.9168241620063782,ok,FT|segunda-feira
2026-01-05/2026-01-11,24,FT,terça-feira,proba_raw_terca,0.25,0.03,0.9168241620063782,ok,FT|terça-feira
2026-01-05/2026-01-11,24,FT,quarta-feira,proba_raw_quarta,0.53,0.07,0.9168241620063782,ok,FT|quarta-feira
2026-01-05/2026-01-11,24,FT,quinta-feira,proba_raw_segqui,1.0,0.0,0.9168241620063782,no_candidate,FT|quinta-feira
2026-01-05/2026-01-11,24,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,0.9168241620063782,no_candidate,FT|sexta-feira
2026-01-05/2026-01-11,24,FT,sábado,proba_raw_sexdom,0.57,0.07,0.9168241620063782,ok,FT|sábado
2026-01-05/2026-01-11,24,FT,domingo,proba_raw_sexdom,0.23,0.04,0.9168241620063782,ok,FT|domingo
2026-01-05/2026-01-11,24,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.9168241620063782,no_candidate,FH|segunda-feira
2026-01-05/2026-01-11,24,FH,terça-feira,proba_raw_terca,0.33,0.07,0.9168241620063782,ok,FH|terça-feira
2026-01-05/2026-01-11,24,FH,quarta-feira,proba_raw_quarta,0.17,0.02,0.9168241620063782,ok,FH|quarta-feira
2026-01-05/2026-01-11,24,FH,quinta-feira,proba_raw_segqui,0.05,0.03,0.9168241620063782,ok,FH|quinta-feira
2026-01-05/2026-01-11,24,FH,sexta-feira,proba_raw_sexdom,0.07,0.01,0.9168241620063782,ok,FH|sexta-feira
2026-01-05/2026-01-11,24,FH,sábado,proba_raw_sexdom,0.19,0.01,0.9168241620063782,ok,FH|sábado
2026-01-05/2026-01-11,24,FH,domingo,proba_raw_sexdom,1.0,0.0,0.9168241620063782,no_candidate,FH|domingo
2026-01-12/2026-01-18,25,FT,segunda-feira,proba_raw_segunda,0.19,0.03,1.0,ok,FT|segunda-feira
2026-01-12/2026-01-18,25,FT,terça-feira,proba_raw_terca,0.25,0.03,1.0,ok,FT|terça-feira
2026-01-12/2026-01-18,25,FT,quarta-feira,proba_raw_quarta,0.53,0.07,1.0,ok,FT|quarta-feira
2026-01-12/2026-01-18,25,FT,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,no_candidate,FT|quinta-feira
2026-01-12/2026-01-18,25,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira
2026-01-12/2026-01-18,25,FT,sábado,proba_raw_sexdom,0.57,0.07,1.0,ok,FT|sábado
